Symbol,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share
GILB,45.92%,"23.10
                                
                                    (FY:080-081, Q:3)",59.44,180.69,7.60,,,"1:1
                                
                                    (FY:076-077)"
GLBSL,156.69%,"25.61
                                
                                    (FY:080-081, Q:4)",71.06,146.52,12.42,,,
GLH,17.92%,"-1.12
                                
                                    (FY:080-081, Q:3)",-252.68,80.03,3.54,,,
GMFBS,147.87%,"7.55
                                
                                    (FY:080-081, Q:3)",219.67,145.30,11.41,"1.00
                                
                                    (FY:077-078)","19.00
                                
                                    (FY:077-078)",
GMFIL,71.71%,"1.53
                                
                                    (FY:080-081, Q:4)",392.81,141.56,4.25,,,"10:4
                                
                                    (FY:074-075)"
GRDBL,81.00%,"7.18
                                
                                    (FY:080-081, Q:4)",78.27,116.23,4.84,"0.20
                                
                                    (FY:079-080)","3.80
                                
                                    (FY:079-080)",
GUFL,51.57%,"12.55
                                
                                    (FY:080-081, Q:4)",64.94,161.28,5.05,,"7.00
                                
                                    (FY:071-072)","2:1
                                
                                    (FY:073-074)"
GVL,75.43%,"11.11
                                
                                    (FY:080-081, Q:3)",55.27,115.31,5.32,,,
H8020,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,10.05,,,
HATHY,0.00%,"7.77
                                
                                    (FY:080-081, Q:3)",202.06,155.24,10.11,,,"9.779
                                
                                    (FY:072-073)"
HBL,18.05%,"13.10
                                
                                    (FY:080-081, Q:4)",18.47,176.90,1.37,,,"7:1
                                
                                    (FY:071-072)"
HBLD83,-1.89%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,040.00",,,
HDHPC,32.95%,"0.99
                                
                                    (FY:080-081, Q:3)",186.67,79.07,2.34,,,"1:0.75
                                
                                    (FY:079-080)"
HDL,-25.79%,"10.50
                                
                                    (FY:080-081, Q:3)",152.87,119.77,13.40,"15.00
                                
                                    (FY:079-080)","10.00
                                
                                    (FY:079-080)",
HEI,30.55%,"32.35
                                
                                    (FY:080-081, Q:3)",22.72,188.52,3.90,,,
HEIP,-2.44%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,388.20,,,
HHL,88.81%,"-1.19
                                
                                    (FY:080-081, Q:3)",-348.74,72.52,5.72,,,
HIDCL,55.09%,"6.36
                                
                                    (FY:080-081, Q:3)",42.63,112.23,2.42,,,"1:1
                                
                                    (FY:078-079)"
HIDCLP,23.65%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,123.40,,,
HLBSL,73.33%,"2.36
                                
                                    (FY:080-081, Q:4)",440.68,145.41,7.15,,,"1:1
                                
                                    (FY:077-078)"
HLI,8.99%,"7.24
                                
                                    (FY:080-081, Q:3)",66.99,124.25,3.90,,,
HPPL,41.57%,"-25.21
                                
                                    (FY:080-081, Q:3)",-13.93,80.78,4.35,,,
HRL,0.00%,"11.94
                                
                                    (FY:080-081, Q:3)",80.32,148.05,6.48,"0.21
                                
                                    (FY:079-080)","4.00
                                
                                    (FY:079-080)",
HURJA,-2.43%,"-7.51
                                
                                    (FY:080-081, Q:3)",-30.96,85.46,2.72,,,"1:1
                                
                                    (FY:081-082)"
ICFC,54.01%,"10.03
                                
                                    (FY:080-081, Q:4)",70.79,160.62,4.42,,,"2:1
                                
                                    (FY:072-073)"
ICFCD83,8.86%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,240.00",,,
IGI,32.00%,"20.58
                                
                                    (FY:080-081, Q:3)",32.17,181.92,3.64,,,"10:4
                                
                                    (FY:078-079)"
IHL,127.43%,"0.18
                                
                                    (FY:080-081, Q:3)","2,888.33",98.57,5.27,,,
ILBS,75.65%,"14.10
                                
                                    (FY:080-081, Q:3)",81.48,144.45,7.95,"1.46
                                
                                    (FY:077-078)",,
ILI,-8.32%,"8.84
                                
                                    (FY:080-081, Q:3)",61.09,161.80,3.34,,,
JBBD87,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,981.10,,,
JBBL,16.50%,"5.61
                                
                                    (FY:080-081, Q:4)",64.17,145.01,2.48,,,"1:1
                                
                                    (FY:072-073)"
JBLB,11.22%,"26.37
                                
                                    (FY:080-081, Q:3)",62.42,243.05,6.77,,,
JFL,93.19%,"-19.87
                                
                                    (FY:080-081, Q:4)",-35.98,57.86,12.36,,,
JOSHI,46.24%,"-5.55
                                
                                    (FY:080-081, Q:3)",-59.55,62.52,5.29,,,
JSLBB,43.83%,"7.45
                                
                                    (FY:080-081, Q:3)",191.13,150.27,9.48,,,"1:1
                                
                                    (FY:075-076)"
KBL,26.77%,"8.80
                                
                                    (FY:080-081, Q:4)",23.41,141.47,1.46,,"6.00
                                
                                    (FY:077-078)",
KBSH,0.00%,"15.62
                                
                                    (FY:080-081, Q:3)",174.52,160.74,16.96,"8.50
                                
                                    (FY:078-079)",,
KDBY,15.79%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,10.34,"6.00
                                
                                    (FY:079-080)",,
KDL,41.53%,"5.50
                                
                                    (FY:080-081, Q:3)",235.45,100.98,12.82,,,
KEF,8.99%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.70,"10.00
                                
                                    (FY:079-080)",,
KKHC,49.38%,"-1.37
                                
                                    (FY:080-081, Q:3)",-202.92,85.01,3.27,,,
KMCDB,65.40%,"11.50
                                
                                    (FY:080-081, Q:3)",94.35,164.18,6.61,,,
KPCL,61.24%,"12.04
                                
                                    (FY:080-081, Q:3)",45.27,120.41,4.53,"0.53
                                
                                    (FY:079-080)","10.00
                                
                                    (FY:079-080)",
KRBL,141.69%,"7.64
                                
                                    (FY:080-081, Q:3)",88.55,105.75,6.40,"5.00
                                
                                    (FY:072-073)","8.00
                                
                                    (FY:072-073)","1:2.25
                                
                                    (FY:073-074)"
KSBBL,55.96%,"18.38
                                
                                    (FY:080-081, Q:4)",26.82,164.48,3.00,,,
KSBBLD87,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,995.00,,,
KSY,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,8.79,,,
LBBL,20.76%,"17.16
                                
                                    (FY:080-081, Q:4)",27.80,188.48,2.53,,,"10:1
                                
                                    (FY:073-074)"
LBBLD89,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,163.30",,,
LBLD86,6.92%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,040.00",,,
LEC,6.22%,"-4.20
                                
                                    (FY:080-081, Q:3)",-56.90,59.70,4.00,,,
LICN,20.14%,"9.67
                                
                                    (FY:080-081, Q:3)",175.80,203.63,8.35,,,
LLBS,50.83%,"12.11
                                
                                    (FY:080-081, Q:4)",97.52,164.83,7.16,,,
LSL,0.00%,"13.09
                                
                                    (FY:080-081, Q:4)",17.27,175.80,1.29,,,
LUK,7.78%,"0.00
                                
                                    (FY:078-079, Q:11)",0.00,0.00,0.00,"7.50
                                
                                    (FY:080-081)",,
LVF2,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.40,"4.50
                                
                                    (FY:080-081)",,
MAKAR,131.02%,"2.11
                                
                                    (FY:080-081, Q:3)",273.93,94.97,6.09,,,
MANDU,0.00%,"21.66
                                
                                    (FY:080-081, Q:3)",54.71,143.53,8.26,"10.00
                                
                                    (FY:079-080)",,
MBJC,50.90%,"-0.29
                                
                                    (FY:080-081, Q:3)","-1,413.79",93.22,4.40,,,
